ReqN|ReqTitle|ReqText|Status|Justification||||
f||The time-based scheduling subservice shall process any valid instruction that is contained within a request to delete time-based scheduled activities identified by request identifier regardless of the presence of faulty instructions.|C1|See definition of Progress Action of ScdDelTba||||
g||For each valid instruction to delete a time-based scheduled activity identified by request identifier, the time-based scheduling subservice shall: 1. delete the scheduled activity corresponding to the request identifier; 2. if that scheduled activity was the last scheduled activity of a sub-schedule, delete the sub-schedule.|C1|See definition of Progress Action of ScdDelTba||||
6.11.9.3|Time-shift scheduled activities identified by request Identifier|||This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.11.9.4|Summary-report time-based scheduled activities identified by request identifier|||This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.11.9.5|Detail-report time-based scheduled activities identified by request identifier|||This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.11.10|Managing the time-based scheduled activities identified by a filter|||This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.1.1.11a|System Observables|The following observables shall be defined for the time-based scheduling subservice: 1. the time-based schedule execution function status (enabled or disabled); 2. the current number of scheduled activities in the time-based schedule; 3. if sub-schedules are supported, the current number of sub-schedules; 4. if groups are supported, the current number of groups.|C1|See definition of observables associated to service 11. The number of sub-schedules and the number of groups are implemented as the numbers of non-empty sub-schedules and the number of non-empty groups.||||
6.12|On-Board Monitoring|Definition of service 12||||||
6.12.2.1.1a|Parameter Monitoring Subservice|Each on-board monitoring service shall contain exactly one parameter monitoring subservice.|C1|The PUS Extension of the CORDET Framework supports both sub-services of the On-Board Monitoring service and it allows one instance of the service to be deployed in an application. The service only contains one instance of each of its two sub-services.||||
6.12.2.1.2a|Functional Monitoring Subservice|Each on-board monitoring service shall contain at most one functional monitoring subservice.|C1|See statement of compliance to previous clause||||
6.12.2.2a|Application process|For each on-board monitoring service that contains both, a parameter monitoring subservice and a functional monitoring subservice, the two subservice providers of that service shall be hosted by the same application process.|C2|In the CORDET Framework, the allocation of sub-services to application processes is done during the framework instantiation process when the application developers define the groups (see section 4.2 of [PX-SP]||||
6.12.2.3.1a|Service|Each on-board monitoring service shall be associated to exactly one event reporting subservice.|C1|The PUS Extension of the CORDET Framework supports one on-board monitoring service and one event reporting subservice. The former service is associated to the latter subservice.||||
b||The event reporting subservice that is associated to the on-board monitoring service shall be declared when specifying that on-board monitoring service.|C1|See statement of compliance to previous clause||||
6.12.3.1|Parameter accessibility|The parameter monitoring subservice shall be able to monitor all on- board parameters that are accessible to the application process that hosts the subservice.|C1|The parameter monitoring subservice has access to all data pool parameters and variables||||
6.12.3.2.1a| Minimum capability|The parameter monitoring subservice shall support the evaluation of the following minimum check types: 1. Limit-check, 2. Expected-value-check|C1|Both check types are supported. See requirements S13-3 and 4.||||
b||When performing a limit-check, the parameter monitoring subservice shall: 1. check that the value of a parameter lies within a pair of limit values; 2. declare the check successful when the value of the parameter is less than or equal to the high limit value and greater than or equal to the low limit value.|C1|See definition of Limit Check Monitoring Procedure||||
c||When performing an expected-value-check, the parameter monitoring subservice shall: 1. check that the value resulting from applying a bit mask to a parameter is equal to the expected value; 2. declare the check successful when these two values are equal.|C1|See definition of Expected Value Monitoring Procedure||||
6.12.3.2.2a| Additional capability|The parameter monitoring subservice may support the evaluation of the delta-check type.|C1|This check is supported. See requirement S13-5||||
b||Whether the parameter monitoring subservice supports the delta-check type shall be declared when specifying that subservice.|C1|This check is supported. See requirement S13-5||||
c||When performing a delta-check, the parameter monitoring subservice shall: 1. calculate the delta value between two consecutive values of a parameter; 2. declare the check successful when the delta value is less than or equal to the high threshold value and greater than or equal to the low threshold value.|C1|See definition of Delta Value Monitoring Procedure||||
6.12.3.3a|Parameter monitoring definition|The maximum number of parameter monitoring definitions that the parameter monitoring subservice can contemporaneously evaluate at any time shall be declared when specifying that subservice.|C2|This number is given by the sum of constants MON\_N\_PMON which must be set at framework instantiation time||||
b||The parameter monitoring subservice shall provide the capability to process several parameter monitoring definitions for the same on-board parameter.|C1|See definition of Parameter Monitoring Definition List||||
c||Whether the parameter monitoring subservice supports conditional checking of parameter monitoring definitions shall be declared when specifying that subservice.|C1|Conditional checking is supported for each monitored parameter (see definition of PMDL)||||
d||Whether the parameter monitoring subservice uses a single, subservice-specific monitoring interval for all parameter monitoring definitions or uses a definition-specific monitoring interval for each parameter monitoring definition shall be declared when specifying that subservice.|C1|To each parameter monitor, a dedicated monitoring period expressed as a multiple of MON\_PER is associated. See definition of parameter monitor attributes||||
e||If the parameter monitoring subservice uses a subservice-specific monitoring interval, that monitoring interval shall be declared when specifying that subservice.|C1|See previous requirement||||
f||Monitoring intervals shall be expressed in 'on-board parameter minimum sampling interval' units.|C1|See statement of compliance to previous two clauses||||
g||Each parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition; 2. the identifier of the on-board parameter to monitor; 3. if the parameter monitoring subservice supports the conditional checking of parameter monitoring definitions, a check validity condition that yielding false prevents the check being performed; 4. if the parameter monitoring subservice uses definition-specific monitoring intervals, a monitoring interval; 5. a check definition.|C1|See definition of parameter monitor attributes in PMDL||||
h||Each check validity condition shall contain:1. the identifier of an on-board parameter to use as a validity parameter; 2. a bit-mask; 3. an expected value.|C1|See definition of parameter monitor attributes in PMDL||||
I||When computing the check validity condition, the parameter monitoring subservice shall: 1. perform a bitwise-and between the bit-mask and the sampled value of the validity parameter; 2. declare the condition true when the masked value equals the expected value.|C1|See definition of Monitoring Function Procedure||||
j||Each check definition shall contain: …|C1|See definition of parameter monitor attributes and of Monitoring Function Procedures (but sub-clause (5) is unclear and compliance is TBD)||||
6.12.3.4a|Statuses|The parameter monitoring subservice shall maintain a status indicating whether the overall parameter monitoring function is enabled or disabled. |C1|The parameter monitoring function is disabled if the Monitoring Function Procedure is stopped. The status of the procedure is an observable data item.||||
b||When starting the parameter monitoring subservice, the overall parameter monitoring function status shall be set to 'enabled'.|C2|The starting of the Parameter Monitoring Procedure (and hence the enabling of the parameter monitoring function) is the responsibility of the host application (see use constraint S12-8)||||
c||For each parameter monitoring definition, the parameter monitoring subservice shall maintain a status indicating whether that parameter monitoring definition is enabled or disabled. |C1|A parameter monitoring is enabled if its Parameter Monitor Procedure is started.||||
d||For each parameter monitoring definition, the parameter monitoring subservice shall maintain a status indicating the established status of the checks performed on the monitored parameter. |C1|See definition of parameter monitor attributes in PMDL||||
6.12.3.5.1a|Enable the parameter monitoring function|The parameter monitoring subservice shall provide the capability to enable the parameter monitoring function.|C1|The PUS Framework supports command (12,15)||||
||Each request to enable the parameter monitoring function shall contain exactly one instruction to enable the parameter monitoring function.|C1|See definition of component MonEnbMonFncCmd||||
||For each valid instruction to enable the parameter monitoring function, the parameter monitoring subservice shall: 1. set the PMON function status to 'enabled'; 2. for each parameter monitoring definition that is enabled: 3 (a) set its PMON checking status to 'unchecked'; (b) reset the repetition counter; start the parameter monitoring process.|C1|See progress action of component MonEnbMonFncCmd||||
6.12.3.5.2a|Disable the parameter monitoring function|The parameter monitoring subservice shall provide the capability to disable the parameter monitoring function.|C1|The PUS Framework supports command (12,16)||||
b||Each request to disable the parameter monitoring function shall contain exactly one instruction to disable the parameter monitoring function.|C1|See definition of component MonDisMonFncCmd \||||
c||The parameter monitoring subservice shall reject any instruction to disable the parameter monitoring function if: 1. the on-board monitoring service includes a functional monitoring subservice whose functional monitoring function is enabled.|C1|See definition of Start Action of MonDisMonFncCmd component||||
d||For each request to disable the parameter monitoring function that is rejected, the parameter monitoring subservice shall generate a failed start of execution notification.|C1|See definition of Start Action of MonDisMonFncCmd component||||
e||For each valid instruction to disable the parameter monitoring function, the parameter monitoring subservice shall: 1. set the PMON function status to 'disabled'; 2. stop the parameter monitoring process.|C1|See definition of Progress Action of MonDisMonFncCmd component||||
6.12.3.6.1a|Enable parameter monitoring definitions|The parameter monitoring subservice shall provide the capability to enable parameter monitoring definitions.|C1|The PUS Extension of the CORDET Framework supports command (12,1)||||
b||Each request to enable parameter monitoring definitions shall contain one or more instructions to enable a parameter monitoring definition.|C1|See definition of component MonEnbParMonCmd||||
c||Each instruction to enable a parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition.|C1|See definition of component MonEnbParMonCmd||||
d||The parameter monitoring subservice shall reject any instruction to enable a parameter monitoring definition if any of the following conditions occurs: 1. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list; 2. that instruction refers to a parameter monitoring definition that is used by a protected functional monitoring definition.|C1|See definition of Start Action of command MonEnbParMonCmd||||
e||For each instruction to enable a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of command MonEnbParMonCmd||||
f||The parameter monitoring subservice shall process any valid instruction that is contained within a request to enable parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Start Action of command MonEnbParMonCmd||||
g||For each valid instruction to enable a parameter monitoring definition, the parameter monitoring subservice shall: 1. reset the repetition counter of that parameter monitoring definition; 2. set the PMON status of that parameter monitoring definition to 'enabled'.|C1|See definition of Progress Action of command MonEnbParMonCmd||||
6.12.3.6.2a|Disable parameter monitoring definitions|The parameter monitoring subservice shall provide the capability to disable parameter monitoring definitions.|C1|The PUS Extension of the CORDET Framework supports command (12,2)||||
b||Each request to disable parameter monitoring definitions shall contain one or more instructions to disable a parameter monitoring definition.|C1|See definition of component MonDisParMonCmd||||
c||Each instruction to disable a parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition.|C1|See definition of component MonDisParMonCmd||||
d||The parameter monitoring subservice shall reject any instruction to disable a parameter monitoring definition if any of the following conditions occurs: 1. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list; 2. that instruction refers to a parameter monitoring definition that is used by a protected functional monitoring definition.|C1|See definition of Start Action of command MonDisParMonCmd||||
e||For each instruction to disable a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of command MonDisParMonCmd||||
f||The parameter monitoring subservice shall process any valid instruction that is contained within a request to disable parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Start Action of command MonDisParMonCmd||||
g||For each valid instruction to disable a parameter monitoring definition, the parameter monitoring subservice shall: 1. set the PMON status of the parameter monitoring definition to 'disabled'; 2. set the PMON checking status of the parameter monitoring definition to 'unchecked'.|C1|See definition of Progress Action of command MonDisParMonCmd||||
6.12.3.6.3a|Parameter monitoring process|If the PMON function status is 'disabled', the parameter monitoring subservice shall not perform the parameter monitoring process for any parameter monitoring definitions.|C1|If the parameter monitoring function is disabled, the Monitoring Function Procedure is in the stopped state and it therefore does not execute any action||||
b||If the PMON status of a parameter monitoring definition is disabled, the parameter monitoring subservice shall not perform the parameter monitoring process for that definition.|C1|See definition of Monitoring Function Procedure||||
c||When performing the parameter monitoring process for a parameter monitoring definition, at the end of the monitoring interval, the parameter monitoring subservice shall, in sequence: 1. if the subservice supports the conditional checking of parameter monitoring definitions, compute the check validity condition; 2. if the computed check validity condition yields false: 3. (a) set the PMON checking status to 'invalid'; (b) reset the repetition counter of that parameter monitoring definition; if the subservice does not support the conditional checking of parameter monitoring definitions, or if the check validity condition yields true: (a) perform the check specified by the check definition, using a newly sampled value of the monitored parameter; (b) if the specified 'repetition number' of consecutive checks of the monitored parameter have all produced the same checking status output, establish a new PMON checking status;|C1|See definition of Monitoring Function Procedure||||
d||When a new PMON checking status is established, if that status differs from the previous PMON checking status, the parameter monitoring subservice shall: (a) record a check transition by adding that transition to the check transition list; (b) if an event definition is associated to that transition, raise the corresponding event.|C1|See definition of Monitoring Function Procedure||||
e||When a new PMON checking status is established for an expected-value-check, the parameter monitoring subservice shall set the PMON checking status to: 1. 'unexpected value' if the specified 'repetition number' of consecutive checks were declared unsuccessful; 2. 'expected value', if the specified 'repetition number' consecutive checks were declared successful.|C1|See definition of Monitoring Function Procedure and of Expected Value Monitor Procedure||||
f||When a new PMON checking status is established for a limit-check, the parameter monitoring subservice shall set the PMON checking status to: 1. 'above high limit', if the specified 'repetition number' of consecutive checks were declared unsuccessful and the parameter value in each check was greater than the high limit value; 2. 'below low limit', if the specified 'repetition number' of consecutive checks were declared unsuccessful and the parameter value in each check was less than the low limit value; 3. 'within limits', if the specified 'repetition number' of consecutive checks were declared successful.|C1|See definition of Monitoring Function Procedure and of Limit Check Monitor Procedure||||
g||When a new PMON checking status is established for a delta-check, the parameter monitoring subservice shall set the PMON checking status to: 1. 'above high threshold', if the specified 'repetition number' of consecutive checks were declared unsuccessful and the delta value in each check was greater than the high threshold value; 2. 'below low threshold', if the specified 'repetition number' of consecutive checks were declared unsuccessful and the delta value in each check was less than the low threshold value; 3. 'within thresholds', if the specified 'repet|C1|See definition of Monitoring Function Procedure and of Delta Value Monitor Procedure||||
6.12.3.7a|Reporting the check transitions|The parameter monitoring subservice shall provide the capability to report the contents of the check transition list.|C1|The PUS Extension of the CORDET Framework supports the (12,12) report||||
b||When reporting the contents of the check transition list, the parameter monitoring subservice shall: 1. for each check transition in the check transition list, generate a check transition notification containing: (a) the identifier of the parameter monitoring definition for which the check transition is recorded; (b) the identifier of the monitored parameter; (c) the check type; (d) for an expected-value-check, the expected-value-check mask; (e) the parameter value that has caused the transition; (f) the limit crossed; (g) the PMON checking status before the transition; (h) the PMON checking status resulting from the transition; (i) the transition time; 2. generate a single check transition report containing all the generated check transition notifications; 3. remove all the reported check transitions from the check transition list.|C1|See definition of MonChkTransRep||||
c||The maximum number of transitions required for issuing a check transition report shall be declared when specifying the parameter monitoring subservice.|C1|This is the same as the maximum size of the Check Transition List (CTL). This is defined when the service is instantiated.||||
d||The parameter monitoring subservice shall report the contents of the check transition list whenever one of the following condition occurs: 1. the maximum number of transitions required for issuing a check transition report is reached; 2. at the maximum transition reporting delay after the occurrence of the first check transition recorded in the check transition list.|C1|See definition of Ready Check of MonChkTransRep||||
e||The maximum transition reporting delay shall be expressed in 'on-board parameter minimum sampling interval' units.|C1|See definition of constants associated to service 12. The value of the constant is defined when the service is instantiated.||||
f||The default maximum transition reporting delay shall be declared when specifying the parameter monitoring subservice.|C1|See definition of constants associated to service 12. The value of the constant is defined when the service is instantiated.||||
6.12.3.8a|Change the maximum transition reporting delay|The parameter monitoring subservice capability to change the maximum transition reporting delay shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,3) report||||
||Each request to change the maximum transition reporting delay shall contain exactly one instruction to change the maximum transition reporting delay |C1|See definition of component MonChgTransDelCmd||||
||Each instruction to change the maximum transition reporting delay shall contain: 1. the maximum transition reporting delay.|C1|See definition of component MonChgTransDelCmd||||
||For each valid instruction to change the maximum transition reporting delay, the parameter monitoring subservice shall: 1. set the maximum transition reporting delay to the value specified in that instruction.|C1|See progress action of MonChgTransDelCmd command||||
6.12.3.9.1a|Add parameter monitoring definitions|The parameter monitoring subservice capability to add parameter monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,5) command (but the optional Monitoring Interval field is not supported)||||
b||If the capability to add parameter monitoring definitions is provided by the parameter monitoring subservice, that subservice shall provide at least one of the following capabilities: 1. the capability to delete all parameter monitoring definitions specified in clause 6.12.3.9.2; 2. the capability to delete parameter monitoring definitions specified in clause 6.12.3.9.3.|C1|Both capabilities are supported by the PUS Extension of the CORDET Framework.||||
c||Each request to add parameter monitoring definitions shall contain one or more instructions to add a parameter monitoring definition.|C1|See definition of component MonAddParMonCmd||||
d||Each instruction to add a parameter monitoring definition shall contain: 1. the contents of the parameter monitoring definition.|C1|See definition of component MonAddParMonCmd||||
e||The parameter monitoring subservice shall reject any instruction to add a parameter monitoring definition if any of the following conditions occurs: 1. that instruction cannot be added since the PMON list is full; 2. that instruction refers to a parameter monitoring definition identifier that is already in the PMON list; 3. that instruction refers to a parameter to monitor that is not accessible; 4. that instruction refers to a validity parameter that is not accessible; 5. that instruction refers to a limit check for which the high limit is lower than the low limit; 6. that instruction refers to a delta check for which the high threshold is lower than the low threshold.|C1|See definition of Start Action of MonAddParMonCmd but note that: (a) in additional to the rejection conditions stated in this clause, additional ones are defined by the PUS Extension; and (b) conditions 3 and 4 are always satisfied because the parameter to monitor and the validity parameters are data pool items and data pool items are always accessible.||||
f||For each instruction to add a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of MonAddParMonCmd||||
g||The parameter monitoring subservice shall process any valid instruction that is contained within a request to add parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Start Action of MonAddParMonCmd||||
h||For each valid instruction to add a parameter monitoring definition, the parameter monitoring subservice shall: 1. add a new parameter monitoring definition to the PMON list, using data from that instruction; 2. set the PMON checking status of the new parameter monitoring definition to 'unchecked'; 3. set the PMON status of the new parameter monitoring definition to 'disabled'.|C1|See definition of Progress Action of MonAddParMonCmd||||
6.12.3.9.2a|Delete all parameter monitoring definitions|The parameter monitoring subservice capability to delete all parameter monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,4) command||||
b||Each request to delete all parameter monitoring definitions shall contain exactly one instruction to delete all parameter monitoring definitions.|C1|See definition of component MonDelAllParMonCmd||||
c||The parameter monitoring subservice shall reject any request to delete all parameter monitoring definitions if any of the following conditions occurs: 1. the PMON list contains one or more parameter monitoring definitions that are used by the functional monitoring subservice; 2. the PMON function status is 'enabled'.|C1|See definition of Start Action of MonDelAllParMonCmd command||||
d||For each request to delete all parameter monitoring definitions that is rejected, the parameter monitoring subservice shall generate a failed start of execution notification.|C1|See definition of Start Action of MonDelAllParMonCmd command||||
e||For each valid instruction to delete all parameter monitoring definitions, the parameter monitoring subservice shall: 1. delete all entries in the PMON list; 2. delete all entries in the check transition list.|C1|See definition of Progress Action of MonDelAllParMonCmd command||||
6.12.3.9.3a|Delete parameter monitoring definitions|The parameter monitoring subservice capability to delete parameter monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,6) command||||
b||Each request to delete parameter monitoring definitions shall contain one or more instructions to delete a parameter monitoring definition.|C1|See definition of component MonDelParMonCmd||||
c||Each instruction to delete a parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition.|C1|See definition of component MonDelParMonCmd||||
d||The parameter monitoring subservice shall reject any instruction to delete a parameter monitoring definition if any of the following conditions occurs: 1. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list; 2. that instruction refers to a parameter monitoring definition whose PMON status is 'enabled'; 3. that instruction refers to a parameter monitoring definition that is used by a functional monitoring definition.|C1|See definition of Start Action of MonDelParMonCmd command||||
e||For each instruction to delete a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of MonDelParMonCmd command||||
f||The parameter monitoring subservice shall process any valid instruction that is contained within a request to delete parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Start Action of MonDelParMonCmd command||||
g||For each valid instruction to delete a parameter monitoring definition, the parameter monitoring subservice shall: 1. remove the parameter monitoring definition that is referred to by that instruction from the PMON list.|C1|See definition of Progress Action of MonDelParMonCmd command||||
6.12.3.9.4a|Modify parameter monitoring definitions|The parameter monitoring subservice capability to modify parameter monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the (12,7) command||||
b||Each request to modify parameter monitoring definitions shall contain one or more instructions to modify a parameter monitoring definition.|C1|See definition of MonModParMonCmd command||||
c||Each instruction to modify a parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition; the identifier of the monitored parameter used by that parameter monitoring definition; 3. the means to modify: (a) the repetition number; (b) for a limit-check, its low limit, its high limit and the event definition identifier of each associated event; (c) for an expected-value-check, its expected-value-check mask, its expected value and the event definition identifier of its associated event; (d) for a delta-check, its low delta threshold, its high delta threshold and the event definition identifier of each associated event.|C1|See definition of MonModParMonCmd command||||
d||The parameter monitoring subservice shall reject any instruction to modify a parameter monitoring definition if any of the following conditions occurs: 1. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list; 2. that instruction refers to a monitored parameter that is not the one used in that parameter monitoring definition; 3. that instruction refers to a limit check for which the high limit is lower than the low limit; 4. that instruction refers to a delta check for which the high threshold is lower than the low threshold; 5. that instruction refers to a parameter monitoring definition that is used by a protected functional monitoring definition.|C1|See definition of Start Action of MonModParMonCmd command||||
e||For each instruction to modify a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of MonModParMonCmd command||||
f||The parameter monitoring subservice shall process any valid instruction that is contained within a request to modify parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Progress Action of MonModParMonCmd command||||
||For each valid instruction to modify a parameter monitoring definition, the parameter monitoring subservice shall: 1. modify the parameter monitoring definition that is referred to by that instruction, using data from that instruction; 2. set the PMON checking status of the modified parameter monitoring definition to unchecked; 3. reset the repetition counter of that parameter monitoring definition.|C1|See definition of Progress Action of MonModParMonCmd command||||
6.12.3.10a|Report parameter monitoring definitions|The parameter monitoring subservice capability to report parameter monitoring definitions shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports both the (12,8) command and the (12,9) report||||
b||Each request to report parameter monitoring definitions shall contain: 1. one or more instructions to report a parameter monitoring definition, or 2. exactly one instruction to report all parameter monitoring definitions.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
c||Each request to report parameter monitoring definitions shall contain: 1. one or more instructions to report a parameter monitoring definition, or 2. exactly one instruction to report all parameter monitoring definitions.|C1|See definition of MonRepParMonCmd command ||||
d||Each instruction to report a parameter monitoring definition shall contain: 1. the identifier of the parameter monitoring definition.|C1|See definition of MonRepParMonCmd command ||||
e||The parameter monitoring subservice shall reject any instruction to report a parameter monitoring definition if: 1. that instruction refers to a parameter monitoring definition identifier that is not in the PMON list.|C1|See definition of Start Action of MonRepParMonCmd command ||||
f||For each instruction to report a parameter monitoring definition that it rejects, the parameter monitoring subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of MonRepParMonCmd command ||||
g||The parameter monitoring subservice shall process any valid instruction that is contained within a request to report parameter monitoring definitions regardless of the presence of faulty instructions.|C1|See definition of Progress Action of MonRepParMonCmd command ||||
h||For each valid instruction to report a parameter monitoring definition, the parameter monitoring subservice shall generate a single parameter monitoring definition notification that includes: 1. the parameter monitoring definition that is referred to by that instruction; 2. the PMON status of that parameter monitoring definition.|C1|See definition of Progress Action of MonRepParMonCmd command and MonRepParMonRep report||||
I||For each valid instruction to report all parameter monitoring definitions, the parameter monitoring subservice shall generate, for each parameter monitoring definition maintained by that subservice, a single parameter monitoring definition notification.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
j||For each valid request to report parameter monitoring definitions, the parameter monitoring subservice shall generate a single parameter monitoring definition report that contains: 1. if changing the maximum transition reporting delay is supported, the current value of that delay; 2. all related parameter monitoring definition notifications.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
6.12.3.11a|Report the status of each parameter monitoring Definition|The parameter monitoring subservice capability to report the status of each parameter monitoring definition shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports both the (12,14) command and the (12,15) report||||
b||Each request to report the status of each parameter monitoring definition shall contain exactly one instruction to report the status of each parameter monitoring definition.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
c||For each valid instruction to report the status of each parameter monitoring definition, the parameter monitoring subservice shall: 1. generate, for each parameter monitoring definition in the PMON list, a single parameter monitoring definition status notification that includes: (a) the identifier of the parameter monitoring definition; (b) its PMON status.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
d||For each valid request to report the status of each parameter monitoring definition, the parameter monitoring subservice shall generate a single parameter monitoring definition status report that includes all related parameter monitoring definition status notifications.|C1|See definition of MonRepParMonCmd command and MonRepParMonRep report||||
6.12.3.12a|Report the out-of-limits|The parameter monitoring subservice capability to report the out-of-limits shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports both the (12,10) command and the (12,11) report||||
b||Each request to report the out-of-limits shall contain exactly one instruction to report the out-of-limits.|C1|See definition of MonRepOutOfLimitsCmd command and MonRepOutOfLimitsRep report||||
c||For an expected-value-check, only the following transitions shall be reported in the out-of-limits report: 1. unchecked to unexpected value; 2. invalid to unexpected value; 3. expected value to unexpected value.|C1|The Start Action of the MonRepOutOfLimitsCmd command retrieves from the CTL all the transactions which have resulted in a violation. These transactions are then reported by the MonRepOutOfLimitsRep report||||
d||For a limit-check, only the following transitions shall be reported in the out-of-limits report: 1. unchecked to below low limit; 2. unchecked to above high limit; 3. invalid to below low limit; 4. invalid to above high limit; 5. within limits to below low limit; 6. within limits to above high limit; 7. below low limit to above high limit; 8. above high limit to below low limit.|C1|The Start Action of the MonRepOutOfLimitsCmd command retrieves from the CTL all the transactions which have resulted in a violation. These transactions are then reported by the MonRepOutOfLimitsRep report||||
e||For a delta-check, only the following transitions shall be reported in the out-of-limits report: 1. unchecked to below low threshold; 2. unchecked to above high threshold; 3. invalid to below low threshold; 4. invalid to above high threshold; 5. within threshold to below high threshold; 6. within threshold to above high threshold; 7. below low threshold to above high threshold; 8. above high threshold to below low threshold.|C1|The Start Action of the MonRepOutOfLimitsCmd command retrieves from the CTL all the transactions which have resulted in a violation. These transactions are then reported by the MonRepOutOfLimitsRep report||||
f||For each valid instruction to report the out-of-limits, the parameter monitoring subservice shall generate: 1. for each check transition to report, a single out-of-limit notification that includes: (a) the identifier of the parameter monitoring definition for which the check transition is recorded; (b) the identifier of the monitored parameter; (c) the check type; (d) for an expected-value-check, the expected-value-check mask; (e) the parameter value that has caused the transition; (f) the limit crossed; (g) the PMON checking status before the transition; (h) the PMON checking status resulting from the transition; (i) the transition time.|C1|See definition of MonRepOutOfLimitsCmd command and MonRepOutOfLimitsRep report||||
g||For each valid request to report the out-of-limits, the parameter monitoring subservice shall generate a single out-of-limits report that includes all related out-of-limit notifications.|C1|See definition of MonRepOutOfLimitsCmd command and MonRepOutOfLimitsRep report||||
6.12.3.13|Subservice observables|The following observables shall be defined for the parameter monitoring subservice: 1. the number of remaining available entries in the parameter monitoring definition list; 2. the number of enabled parameter monitoring definitions; 3. the PMON function status.|C1|See definition of observable Data Items associated to service 12 in [PX-SP]||||
6.12.4.1.1a| Parameter monitoring definition|The functional monitoring subservice shall be able to observe, at any time, the PMON checking status of each parameter monitoring definition of the parameter monitoring subservice of the parent on-board Monitoring service.|C1|Capability is implicitly provided by the specification of the commands and reports which implement the functional monitoring function||||
6.12.4.1.2a|General|The maximum number of functional monitoring definitions that the functional monitoring subservice can contemporaneously evaluate at any time shall be declared when specifying that subservice.|C1|See definition of constants associated to service 12. The value of the constant is defined when the service is instantiated.||||
b||The maximum number of parameter monitoring definitions that a functional monitoring definition can refer to shall be declared when specifying the functional monitoring subservice.|C1|See definition of constants associated to service 12. The value of the constant is defined when the service is instantiated.||||
c||Whether the functional monitoring subservice supports conditional checking of functional monitoring definitions shall be declared when specifying that subservice.|C1|Conditional checking is supported. ||||
d||Whether the functional monitoring subservice supports specifying, for each functional monitoring definition, the minimum number of contemporaneously violated parameter monitoring definitions that establishes a functional monitoring checking failure shall be declared when specifying that subservice.|C1|Definition of a minimum failing number is supported for each functional monitor||||
e||If the functional monitoring subservice does not support specifying, for each functional monitoring definition, the minimum PMON failing number, the subservice shall use a value of 1 as the minimum PMON failing number for all functional monitoring definitions.|n.a.|See previous requirement||||
f||Each functional monitoring definition shall contain: 1. its identifier; 2. if the functional monitoring subservice supports the conditional checking of functional monitoring definitions, a check validity condition that yielding false prevents the check being performed; 3. the event definition identifier of the event to raise; 4. if the subservice supports specifying the minimum PMON failing number, a minimum PMON failing number; 5. a set of one or more parameter monitoring definition identifiers.|C1|See definition of attributes of a functional monitor in the Functional Monitoring Definition List (FMDL) in [PX-SP]||||
